Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte","Michael Mason, Sylvère Monod, Barnett Freedman",0142437204,9780142437209,5,4.13,Penguin,Paperback,532,2003,1846,2012/04/12,2012/02/27,fiction,fiction (#169),read,,,,1,,,0,,,,,
6287607,"La Cité des Ténèbres (La coupe mortelle, #1)",Cassandra Clare,"Clare, Cassandra",Julie Lafon,2266173286,9782266173285,4,4.09,Pocket Jeunesse,Paperback,570,2008,2007,2012/04/15,2012/03/18,fiction,fiction (#168),read,,,,1,,,0,,,,,
7791997,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,"Fitzpatrick, Becca",,1416989439,9781416989431,3,4.01,Simon & Schuster Books for Young Readers,Hardcover,432,2010,2010,2012/04/18,2012/03/18,fiction,fiction (#167),read,,,,1,,,0,,,,,
6761115,"L'épée Mortelle (La Cité des Ténèbres, #2)",Cassandra Clare,"Clare, Cassandra",Julie Lafon,2266173294,9782266173292,4,4.14,Pocket Jeunesse,Broché,523,2009,2008,2012/04/22,2012/03/18,fiction,fiction (#166),read,,,,1,,,0,,,,,
7931481,"Le miroir mortel (La Cité des Ténèbres, #3)",Cassandra Clare,"Clare, Cassandra",Julie Lafon,2266173308,9782266173308,4,4.30,Distribooks,Paperback,606,2010,2009,2012/04/27,2012/03/18,fiction,fiction (#165),read,,,,1,,,0,,,,,
10075181,Marina,Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",François Maspero,2221116526,9782221116524,4,4.06,Robert Laffont,Paperback,303,2011,1999,2012/04/29,2012/04/18,fiction,fiction (#164),read,,,,1,,,0,,,,,
8306857,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,0062024027,9780062024022,5,4.18,Katherine Tegen Books,Hardcover,487,2011,2011,2012/05/01,2012/03/18,fiction,fiction (#163),read,,,,1,,,0,,,,,
2684443,Les Oubliés de Vulcain,Danielle Martinigol,"Martinigol, Danielle",,2013219024,9782013219020,5,3.50,Le Livre de Poche Jeunesse,Mass Market Paperback,191,2001,1995,2012/05/05,2012/05/01,fiction,fiction (#162),read,,,,1,,,0,,,,,
2175,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave","Mark Overstall, Malcolm Bowie, Margaret Mauldon",0192840398,9780192840394,2,3.68,Oxford University Press,Paperback,329,2004,1857,2012/05/14,2012/05/05,fiction,fiction (#161),read,,,,1,,,0,,,,,
1159305,Abattoir 5,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Lucienne Lotringer,2020408104,9782020408103,5,4.08,Seuil,Mass Market Paperback,220,2004,1969,2012/05/14,2012/04/18,fiction,fiction (#160),read,,,,1,,,0,,,,,
13598890,Sérum : Saison 1 - Épisode 2,Henri Loevenbruck,"Loevenbruck, Henri",Fabrice Mazza,2290041734,9782290041734,3,4.06,J'AI LU - LIBRIO,Mass Market Paperback,212,2012,2012,2012/05/21,2012/05/14,fiction,fiction (#159),read,,,,1,,,0,,,,,
13638543,Sur la route : le rouleau original,Jack Kerouac,"Kerouac, Jack",Josée Kamoun,2070444694,9782070444694,4,4.13,Folio,Mass Market Paperback,624,2012,1957,2012/05/27,2012/05/14,fiction,fiction (#158),read,,,,1,,,0,,,,,
12609994,"16 lunes (Chroniques des enchanteurs, #1)",Kami Garcia,"Garcia, Kami","Margaret Stohl, Luc Rigoureau",2013230060,9782013230063,3,3.76,Le Livre de Poche,Mass Market Paperback,640,2011,2009,2012/06/06,2012/03/27,fiction,fiction (#157),read,,,,1,,,0,,,,,
7039219,"Au bord de la tombe (Chasseuse de la nuit, #1)",Jeaniene Frost,"Frost, Jeaniene",,2811202412,9782811202415,4,4.12,Milady,Mass Market Paperback,512,2009,2007,2012/06/09,2012/06/06,fiction,fiction (#156),read,,,,1,,,0,,,,,
9637697,Le Cercle littéraire des amateurs d'épluchures de patates,Mary Ann Shaffer,"Shaffer, Mary Ann",Annie Barrows,2264053518,9782264053510,4,4.17,10-18,Mass Market Paperback,411,2011,2008,2012/06/19,2012/06/09,fiction,fiction (#155),read,,,,1,,,0,,,,,
3478316,"L'Alchimiste (Les secrets de l'immortel Nicolas Flamel, #1)",Michael Scott,"Scott, Michael",Frédérique Fraisse-Cornieux,2266169173,9782266169172,3,3.84,Pocket Jeunesse,Paperback,360,2008,2007,2012/07/15,2012/03/27,fiction,fiction (#154),read,,,,1,,,0,,,,,
12973148,Lettre d'une inconnue / amok,Stefan Zweig,"Zweig, Stefan","Alzir Hella, Olivier Bournac",2253162787,9782253162780,4,4.13,Le Livre de Poche,Mass Market Paperback,192,2011,1922,2012/07/16,2012/06/19,fiction,fiction (#153),read,,,,1,,,0,,,,,
7948400,"Un pied dans la tombe (Chasseuse de la nuit, #2)",Jeaniene Frost,"Frost, Jeaniene",,2811203443,9782811203443,4,4.28,Milady,Mass Market Paperback,479,2010,2008,2012/07/27,2012/06/19,fiction,fiction (#152),read,,,,1,,,0,,,,,
8212795,Miel et vin,Myriam Chirousse,"Chirousse, Myriam",,228302367X,9782283023679,4,3.83,Buchet-Chastel,Paperback,542,2009,2009,2012/08/07,2012/03/27,fiction,fiction (#151),read,,,,1,,,0,,,,,
9017818,"Froid comme une tombe (Chasseuse de la nuit, #3)",Jeaniene Frost,"Frost, Jeaniene",,2811203958,9782811203955,4,4.28,Milady,Mass Market Paperback,416,2010,2008,2012/08/13,2012/08/07,fiction,fiction (#150),read,,,,1,,,0,,,,,
9669467,"Creuser sa tombe (Chasseuse de la nuit, #4)",Jeaniene Frost,"Frost, Jeaniene",,2811204695,9782811204693,4,4.31,Milady,Mass Market Paperback,416,2011,2009,2012/08/20,2012/08/13,fiction,fiction (#149),read,,,,1,,,0,,,,,
13453998,"Pandemonium (Delirium, #2)",Lauren Oliver,"Oliver, Lauren",,2012028047,9782012028043,4,4.04,Hachette Jeunesse,Paperback,378,2012,2012,2012/09/28,2012/03/27,fiction,fiction (#148),read,,,,1,,,0,,,,,
12973834,"L'étreinte des ténèbres (Le monde de la chasseuse de la nuit, #2)",Jeaniene Frost,"Frost, Jeaniene",,2811206701,9782811206703,4,4.19,Milady,Mass Market Paperback,432,2012,2010,2012/09/30,2012/08/13,fiction,fiction (#147),read,,,,1,,,0,,,,,
942336,Die Räuber,Friedrich Schiller,"Schiller, Friedrich",Jaan Kärner,3150000157,9783150000151,4,3.55,Reclam,Paperback,176,1986,1781,2012/10/06,2012/09/28,fiction,fiction (#146),read,,,,1,,,0,,,,,
13481151,"Réunis dans la tombe (Chasseuse de la nuit, #5)",Jeaniene Frost,"Frost, Jeaniene",,2811207422,9782811207427,4,4.25,Milady,Mass Market Paperback,375,2012,2011,2012/10/12,2012/08/13,fiction,fiction (#145),read,,,,1,,,0,,,,,
1166827,Des cornichons au chocolat,Philippe Labro,"Labro, Philippe",,2253121983,9782253121985,2,3.11,Livre de Poche,Paperback,251,2008,1983,2012/10/19,2012/10/12,fiction,fiction (#144),read,,,,1,,,0,,,,,
4327066,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,1847394078,9781847394071,4,4.20,Pocket Books,Paperback,232,2009,1999,2012/10/21,2012/10/19,"fiction, vo-anglaise","fiction (#143), vo-anglaise (#43)",read,,,,1,,,0,,,,,
16060420,Sérum : Saison 1 - Épisode 4,Henri Loevenbruck,"Loevenbruck, Henri",Fabrice Mazza,2290041718,9782290041710,3,4.19,J'ai Lu,Mass Market Paperback,215,2012,2012,2012/10/21,2012/10/21,fiction,fiction (#142),read,,,,1,,,0,,,,,
16107688,Sérum : Saison 1 - Épisode 5,Henri Loevenbruck,"Loevenbruck, Henri",Fabrice Mazza,229004170X,9782290041703,3,4.02,J'AI LU - LIBRIO,Mass Market Paperback,192,2012,2012,2012/10/25,2012/10/25,fiction,fiction (#141),read,,,,1,,,0,,,,,
15992876,Little Red Riding Hood: Redux (The hitRECorderly #1),Joseph Gordon-Levitt,"Gordon-Levitt, Joseph",,,,4,4.27,hitRECord.org,Paperback,55,2012,2012,2012/10/25,2012/10/25,"vo-anglaise, fiction","vo-anglaise (#42), fiction (#140)",read,,,,1,,,0,,,,,
12680575,"RECollection, Vol. 1",Joseph Gordon-Levitt,"Gordon-Levitt, Joseph",,,,4,4.46,HitRECord,Hardcover,64,2011,2011,2012/10/25,2012/10/25,"fiction, vo-anglaise","fiction (#139), vo-anglaise (#41)",read,,,,1,,,0,,,,,
1808773,Ne tirez pas sur l'oiseau moqueur,Harper Lee,"Lee, Harper",Isabelle Stoïanov,2253115843,9782253115847,5,4.28,Le Livre de Poche,Mass Market Paperback,447,2006,1960,2012/10/26,2012/08/13,fiction,fiction (#138),read,,,,1,,,0,,,,,
1204751,Hymnes à la haine,Dorothy Parker,"Parker, Dorothy",Patrick Reumaux,2859408037,9782859408039,5,3.59,Phébus,Paperback,103,2002,2002,2012/10/28,2012/10/27,fiction,fiction (#137),read,,,,1,,,0,,,,,
439288,Speak,Laurie Halse Anderson,"Anderson, Laurie Halse",,014131088X,9780141310886,4,4.02,Puffin,Paperback,202,2001,1999,2012/10/30,2012/08/14,"fiction, vo-anglaise","fiction (#136), vo-anglaise (#40)",read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,,,5,4.48,Scholastic Inc,Hardcover,309,2003,1997,2012/11/04,2012/10/30,"fiction, vo-anglaise","fiction (#135), vo-anglaise (#39)",read,,,,1,,,0,,,,,
8479871,La Reine des lectrices,Alan Bennett,"Bennett, Alan",Pierre Menard,2070419606,9782070419609,3,3.76,Folio,Mass Market Paperback,121,2010,2007,2012/11/11,2012/11/09,fiction,fiction (#134),read,,,,1,,,0,,,,,
8537155,"La voix du couteau (Le chaos en marche, #1)",Patrick Ness,"Ness, Patrick",Bruno Krebs,2070634353,9782070634354,3,3.96,Gallimard,Paperback,528,2010,2008,2012/11/15,2012/10/21,fiction,fiction (#133),read,,,,1,,,0,,,,,
13623923,"The Tiny Book of Tiny Stories, Vol. 2",Joseph Gordon-Levitt,"Gordon-Levitt, Joseph",wirrow,0062121634,9780062121639,4,4.18,It Books,Hardcover,127,2012,2012,2012/11/17,2012/11/17,fiction,fiction (#132),read,,,,1,,,0,,,,,
8602080,"Si je reste (Mia, #1)",Gayle Forman,"Forman, Gayle",Marie-France Girod,2266198181,9782266198189,3,3.93,Pocket,Mass Market Paperback,196,2010,2009,2012/11/17,2012/03/27,fiction,fiction (#131),read,,,,1,,,0,,,,,
13561245,La vie à deux,Dorothy Parker,"Parker, Dorothy",,226405445X,9782264054456,3,3.70,10-18,Paperback,251,2011,1984,2012/11/22,2012/10/27,fiction,fiction (#130),read,,,,1,,,0,,,,,
15708130,"D'outre-tombe (Chasseuse de la nuit, #6)",Jeaniene Frost,"Frost, Jeaniene",,2811208429,9782811208424,4,4.21,Milady,Mass Market Paperback,405,2012,2011,2012/11/26,2012/11/20,fiction,fiction (#129),read,,,,1,,,0,,,,,
13636993,Les talons hauts rapprochent les filles du ciel,Olivier Gay,"Gay, Olivier",,,9782702437025,3,3.82,Editions du Masque,Paperback,380,2012,2012,2012/12/04,2012/11/26,fiction,fiction (#128),read,,,,1,,,0,,,,,
